,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
8979,de,hechingen,48.35,8.983333,44.6,81,75,14.99
14996,hn,la union,15.7166667,-87.0,71.13,82,8,12.66
8904,de,gladbeck,51.566666999999995,6.983333,41.88,87,75,12.75
31339,pl,sosnowiec,50.272242999999996,19.155039000000002,36.57,69,0,16.11
38865,ru,verkhneye kazanishche,42.735473999999996,47.137803999999996,39.2,66,40,11.18
21798,jp,sugito,36.033333,139.73333300000002,44.22,92,75,3.36
40130,th,chiang klang,19.293778,100.861695,69.8,100,75,1.12
33647,ro,mugeni,46.25,25.216667,26.6,92,0,5.82
3350,br,marilandia,-19.416667,-40.516667,69.24,100,92,3.6
40868,tz,chato,-2.6377778,31.766944399999996,66.63,100,56,1.36
10162,dk,stubbekobing,54.889419999999994,12.040204,44.58,95,8,23.06
20058,it,albino,45.766667,9.783333,40.12,93,75,3.36
18241,in,kharsia,21.966667,83.116667,67.67,73,12,5.61
18841,in,nohar,29.183333,74.766667,44.94,74,0,4.61
11034,es,santona,43.443864000000005,-3.4575709999999997,50.86,93,92,11.41
1528,be,haaltert,50.9,4.0,39.79,80,75,13.87
12526,gb,farnborough,51.266667,-0.733333,38.68,86,0,12.75
40741,tr,yozgat,39.82,34.804444000000004,26.72,90,64,7.4
37692,ru,podstepki,53.5151,49.1355,24.8,92,90,6.71
26820,pe,tumbes,-3.5666667000000003,-80.4413889,77,78,90,3.36
17115,in,bantva,21.486389000000003,70.068889,62.94,91,0,7.96
21638,jp,naze,28.366667,129.48333300000002,59,77,75,14.99
37614,ru,peshkovo,47.018667,39.388446,30.2,80,32,4.47
38515,ru,tayturka,52.869167000000004,103.460833,22.4,84,48,6.73
26708,pe,morrope,-6.5416667,-80.0111111,66.2,82,20,20.8
15927,hu,poroszlo,47.65,20.666667,32,91,0,9.17
7537,co,villavieja,3.220523,-75.218643,39.2,86,0,4.7
27602,ph,burabod,13.2686,123.4162,84.9,84,0,3.04
40129,th,chiang khong,20.261248000000002,100.404613,69.8,100,90,3.04
42058,us,pelham,33.2855556,-86.81,45.46,65,90,3.36
35519,ru,bryansk,53.252089,34.371666,22.17,87,88,7.74
13087,ge,borjomi,41.8375,43.3791667,33.96,93,92,4.83
8709,de,diedorf,48.35,10.766667,39.47,75,92,11.41
33641,ro,movileni,44.366667,24.65,35.6,80,0,9.17
